unique_id,ds,y
1,1949-01-31T00:00:00Z,112
1,1949-02-28T00:00:00Z,118
1,1949-03-31T00:00:00Z,132
1,1949-04-30T00:00:00Z,129
1,1949-05-31T00:00:00Z,121
1,1949-06-30T00:00:00Z,135
1,1949-07-31T00:00:00Z,148
1,1949-08-31T00:00:00Z,148
1,1949-09-30T00:00:00Z,136
1,1949-10-31T00:00:00Z,119
1,1949-11-30T00:00:00Z,104
1,1949-12-31T00:00:00Z,118
1,1950-01-31T00:00:00Z,115
1,1950-02-28T00:00:00Z,126
1,1950-03-31T00:00:00Z,141
1,1950-04-30T00:00:00Z,135
1,1950-05-31T00:00:00Z,125
1,1950-06-30T00:00:00Z,149
1,1950-07-31T00:00:00Z,170
1,1950-08-31T00:00:00Z,170
1,1950-09-30T00:00:00Z,158
1,1950-10-31T00:00:00Z,133
1,1950-11-30T00:00:00Z,114
1,1950-12-31T00:00:00Z,140
1,1951-01-31T00:00:00Z,145
1,1951-02-28T00:00:00Z,150
1,1951-03-31T00:00:00Z,178
1,1951-04-30T00:00:00Z,163
1,1951-05-31T00:00:00Z,172
1,1951-06-30T00:00:00Z,178
1,1951-07-31T00:00:00Z,199
1,1951-08-31T00:00:00Z,199
1,1951-09-30T00:00:00Z,184
1,1951-10-31T00:00:00Z,162
1,1951-11-30T00:00:00Z,146
1,1951-12-31T00:00:00Z,166
1,1952-01-31T00:00:00Z,171
1,1952-02-29T00:00:00Z,180
1,1952-03-31T00:00:00Z,193
1,1952-04-30T00:00:00Z,181
1,1952-05-31T00:00:00Z,183
1,1952-06-30T00:00:00Z,218
1,1952-07-31T00:00:00Z,230
1,1952-08-31T00:00:00Z,242
1,1952-09-30T00:00:00Z,209
1,1952-10-31T00:00:00Z,191
1,1952-11-30T00:00:00Z,172
1,1952-12-31T00:00:00Z,194
1,1953-01-31T00:00:00Z,196
1,1953-02-28T00:00:00Z,196
1,1953-03-31T00:00:00Z,236
1,1953-04-30T00:00:00Z,235
1,1953-05-31T00:00:00Z,229
1,1953-06-30T00:00:00Z,243
1,1953-07-31T00:00:00Z,264
1,1953-08-31T00:00:00Z,272
1,1953-09-30T00:00:00Z,237
1,1953-10-31T00:00:00Z,211
1,1953-11-30T00:00:00Z,180
1,1953-12-31T00:00:00Z,201
1,1954-01-31T00:00:00Z,204
1,1954-02-28T00:00:00Z,188
1,1954-03-31T00:00:00Z,235
1,1954-04-30T00:00:00Z,227
1,1954-05-31T00:00:00Z,234
1,1954-06-30T00:00:00Z,264
1,1954-07-31T00:00:00Z,302
1,1954-08-31T00:00:00Z,293
1,1954-09-30T00:00:00Z,259
1,1954-10-31T00:00:00Z,229
1,1954-11-30T00:00:00Z,203
1,1954-12-31T00:00:00Z,229
1,1955-01-31T00:00:00Z,242
1,1955-02-28T00:00:00Z,233
1,1955-03-31T00:00:00Z,267
1,1955-04-30T00:00:00Z,269
1,1955-05-31T00:00:00Z,270
1,1955-06-30T00:00:00Z,315
1,1955-07-31T00:00:00Z,364
1,1955-08-31T00:00:00Z,347
1,1955-09-30T00:00:00Z,312
1,1955-10-31T00:00:00Z,274
1,1955-11-30T00:00:00Z,237
1,1955-12-31T00:00:00Z,278
1,1956-01-31T00:00:00Z,284
1,1956-02-29T00:00:00Z,277
1,1956-03-31T00:00:00Z,317
1,1956-04-30T00:00:00Z,313
1,1956-05-31T00:00:00Z,318
1,1956-06-30T00:00:00Z,374
1,1956-07-31T00:00:00Z,413
1,1956-08-31T00:00:00Z,405
1,1956-09-30T00:00:00Z,355
1,1956-10-31T00:00:00Z,306
1,1956-11-30T00:00:00Z,271
1,1956-12-31T00:00:00Z,306
1,1957-01-31T00:00:00Z,315
1,1957-02-28T00:00:00Z,301
1,1957-03-31T00:00:00Z,356
1,1957-04-30T00:00:00Z,348
1,1957-05-31T00:00:00Z,355
1,1957-06-30T00:00:00Z,422
1,1957-07-31T00:00:00Z,465
1,1957-08-31T00:00:00Z,467
1,1957-09-30T00:00:00Z,404
1,1957-10-31T00:00:00Z,347
1,1957-11-30T00:00:00Z,305
1,1957-12-31T00:00:00Z,336
1,1958-01-31T00:00:00Z,340
1,1958-02-28T00:00:00Z,318
1,1958-03-31T00:00:00Z,362
1,1958-04-30T00:00:00Z,348
1,1958-05-31T00:00:00Z,363
1,1958-06-30T00:00:00Z,435
1,1958-07-31T00:00:00Z,491
1,1958-08-31T00:00:00Z,505
1,1958-09-30T00:00:00Z,404
1,1958-10-31T00:00:00Z,359
1,1958-11-30T00:00:00Z,310
1,1958-12-31T00:00:00Z,337
1,1959-01-31T00:00:00Z,360
1,1959-02-28T00:00:00Z,342
1,1959-03-31T00:00:00Z,406
1,1959-04-30T00:00:00Z,396
1,1959-05-31T00:00:00Z,420
1,1959-06-30T00:00:00Z,472
1,1959-07-31T00:00:00Z,548
1,1959-08-31T00:00:00Z,559
1,1959-09-30T00:00:00Z,463
1,1959-10-31T00:00:00Z,407
1,1959-11-30T00:00:00Z,362
1,1959-12-31T00:00:00Z,405
1,1960-01-31T00:00:00Z,417
1,1960-02-29T00:00:00Z,391
1,1960-03-31T00:00:00Z,419
1,1960-04-30T00:00:00Z,461
1,1960-05-31T00:00:00Z,472
1,1960-06-30T00:00:00Z,535
1,1960-07-31T00:00:00Z,622
1,1960-08-31T00:00:00Z,606
1,1960-09-30T00:00:00Z,508
1,1960-10-31T00:00:00Z,461
1,1960-11-30T00:00:00Z,390
1,1960-12-31T00:00:00Z,432
